signal_date,code,name,entry_limit,take_profit,stop_loss,time_stop_days,volume_ratio,rsi14,ma25,daily_gain_pct,turnover_oku_yen,earnings_date,status,entry_date,entry_price,exit_date,exit_price,result,pnl_pct,days_held
2026-07-03,4419,Ｆｉｎａｔｅｘｔホールディングス,1516.0,1622.1,1409.9,20,2.2,68.1,1298.6,10.8,6.2,,未約定,2026-07-06,1516.0,,,,,0
2026-07-03,7366,ＬＩＴＡＬＩＣＯ,1668.0,1784.8,1551.2,20,2.2,65.1,1570.1,3.4,1.8,,未約定,2026-07-06,1668.0,,,,,0
2026-07-06,8613,丸三証券,1106.0,1183.4,1028.6,20,2.1,69.5,1058.4,2.4,2.5,,未約定,,,,,,,
2026-08-10,2170,リンクアンドモチベーション,656.0,701.9,610.1,20,2.8,69.4,609.6,2.5,3.4,,決済済み,2026-08-12,656.0,2026-08-12,609.5,損切り,-7.09,0
2026-08-12,7593,ＶＴホールディングス,513.0,548.9,477.1,20,4.3,73.9,480.8,5.6,2.0,,保有中,2026-08-13,513.0,,,,,8
2026-08-13,2124,ジェイエイシーリクルートメント,1017.0,1088.2,945.8,20,4.8,72.5,925.7,6.0,7.3,2026-11-13,保有中,2026-08-14,993.0,,,,,7
2026-08-13,8897,ＭＩＲＡＲＴＨホールディングス,452.0,483.6,420.4,20,3.5,73.5,415.7,2.3,3.6,,保有中,2026-08-14,452.0,,,,,7
2026-08-14,5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,623.0,666.6,579.4,20,3.7,66.7,558.7,6.0,1.3,,未約定,,,,,,,
2026-08-14,3245,ディア・ライフ,1151.0,1231.6,1070.4,20,2.9,72.6,1088.7,3.2,3.5,,未約定,,,,,,,
2026-08-14,8508,Ｊトラスト,895.0,957.7,832.3,20,2.3,61.0,835.8,10.6,11.0,,決済済み,2026-08-17,895.0,2026-08-24,831.5,損切り,-7.1,5
2026-08-17,3679,じげん,446.0,477.2,414.8,20,2.2,72.5,415.2,1.6,1.1,,保有中,2026-08-18,441.0,,,,,5
2026-08-20,3668,コロプラ,440.0,470.8,409.2,20,2.2,73.1,399.6,6.0,2.5,2026-11-04,保有中,2026-08-21,439.0,,,,,2
2026-08-21,3232,三重交通グループホールディングス,572.0,612.0,532.0,20,3.0,67.8,551.8,1.2,1.1,,保有中,2026-08-24,572.0,,,,,1
2026-08-25,8273,イズミ,1083.0,1158.8,1007.2,20,3.0,70.5,1012.8,1.7,6.1,2026-10-13,約定待ち,,,,,,,
