code,name,sector,price,per,pbr,dividend_yield,roe,market_cap_oku_yen,ma25,ma75,rsi14,signal,news_count,news_sentiment,news_label,news_latest
1301,極洋,水産・農林業,4670.0,8.108342,0.7172199,3.43,8.88,554.7,4481.2,4490.9,69.5,中立,0,,,
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,医薬品,411.0,,1.4946107,,-21.32,26.7,423.8,433.6,44.2,中立,0,,,
1332,ニッスイ,水産・農林業,1340.5,14.871311,1.3545727,2.39,9.92,4065.4,1278.7,1279.9,64.0,中立,0,,,
1333,Ｕｍｉｏｓ,水産・農林業,1378.5,9.397368,0.8429445,3.26,9.96,2084.1,1317.1,1309.4,72.6,買われすぎ,1,,,2026-07-27
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,情報・通信業,3565.0,56.336918,17.527643,,37.17,365.6,4039.4,3871.6,40.3,中立,0,,,
1375,ユキグニファクトリー,水産・農林業,1204.0,16.237356,3.2511106,1.66,21.65,480.2,1150.8,1093.2,76.5,買われすぎ,1,,,2026-07-23
1376,カネコ種苗,水産・農林業,1575.0,13.111888,0.6457758,3.05,5.12,172.7,1497.3,1432.9,69.8,中立,0,,,
1377,サカタのタネ,水産・農林業,4525.0,15.8995075,1.0715168,2.21,7.16,1912.3,4306.2,4191.2,69.0,中立,0,,,
1379,ホクト,水産・農林業,1989.0,10.365853,0.96033657,3.12,11.51,623.5,1905.3,1878.5,74.1,買われすぎ,0,,,
137A,Ｃｏｃｏｌｉｖｅ,情報・通信業,663.0,14.466506,5.4181275,,,19.6,753.0,707.3,36.0,中立,0,,,
1380,秋川牧園,水産・農林業,999.0,192.48555,1.9140425,1.0,0.96,41.6,1001.7,1007.8,46.7,中立,0,,,
1381,アクシーズ,水産・農林業,3425.0,8.600125,0.82608205,3.28,12.04,192.3,3512.3,3661.1,40.5,中立,0,,,
1382,ホーブ,水産・農林業,830.0,,0.87072283,6.02,-1.47,6.3,1138.0,1389.2,14.8,売られすぎ,1,,,2026-07-23
1383,ベルグアース,水産・農林業,3030.0,45.943897,2.3179154,0.33,4.86,48.5,2925.1,2966.0,77.0,買われすぎ,0,,,
1384,ホクリヨウ,水産・農林業,2022.0,4.428384,1.7275023,3.96,11.24,171.0,2026.4,2250.5,45.8,中立,0,,,
138A,光フードサービス,小売業,2921.0,19.189331,2.058801,1.64,11.18,29.0,2983.2,3041.1,43.0,中立,0,,,
1401,エムビーエス,建設業,1265.0,15.613429,2.2592149,1.19,14.94,87.7,1293.8,1316.7,44.3,中立,1,,,2026-07-27
1407,ウエストホールディングス,建設業,2648.0,20.309862,2.995526,2.64,20.72,1050.2,2479.6,2533.9,54.6,中立,0,,,
1414,ショーボンドホールディングス,建設業,1353.0,18.768208,2.619438,3.36,14.64,2719.0,1270.1,1275.6,79.3,買われすぎ,0,,,
1417,ミライト・ワン,建設業,3578.0,13.666922,1.1352963,2.79,8.61,3145.6,3750.6,3849.9,35.6,中立,0,,,
1418,インターライフホールディングス,建設業,604.0,11.27076,1.9190016,4.97,22.26,92.1,551.7,535.2,70.2,買われすぎ,1,,,2026-07-28
1419,タマホーム,建設業,3105.0,74.08733,3.0337465,4.19,3.82,900.1,2964.4,3169.3,59.3,中立,1,,,2026-07-28
141A,トライアルホールディングス,小売業,3035.0,38.632893,2.8442397,0.53,7.55,3722.2,3021.4,3313.7,51.7,中立,0,,,
1420,サンヨーホームズ,建設業,644.0,5.252426,0.46000987,3.88,8.67,79.9,638.7,628.3,58.2,中立,0,,,
1429,日本アクア,建設業,763.0,12.845118,2.2633832,4.59,18.18,245.5,742.4,719.4,63.2,中立,0,,,
142A,ジンジブ,サービス業,760.0,12.094208,3.8332148,,37.72,22.1,756.6,757.9,49.5,中立,0,,,
1430,ファーストコーポレーション,建設業,1014.0,9.616843,1.090929,5.03,18.01,121.6,974.0,978.7,61.5,中立,0,,,
1431,Ｌｉｂ　Ｗｏｒｋ,建設業,656.0,67.14432,3.5117962,0.98,4.61,152.6,644.1,643.7,63.3,中立,0,,,
1433,ベステラ,建設業,1137.0,13.9818,1.8797925,3.52,12.05,100.7,1138.5,1084.3,51.2,中立,0,,,
1434,ＪＥＳＣＯホールディングス,建設業,1618.0,7.3545456,1.3409826,2.97,23.77,112.6,1805.2,2030.0,31.2,中立,0,,,
1435,ｒｏｂｏｔ　ｈｏｍｅ,不動産業,161.0,7.2719064,1.3118654,1.24,18.38,143.1,164.4,175.1,42.7,中立,0,,,
1436,グリーンエナジー＆カンパニー,建設業,1221.0,31.469072,2.72876,0.9,9.19,151.0,1376.4,1493.6,38.4,中立,2,,,2026-07-23
1438,岐阜造園,建設業,1950.0,12.675508,1.406763,2.05,11.79,63.3,1902.5,1877.9,64.5,中立,0,,,
143A,イシン,サービス業,657.0,269.2623,1.0391032,,-1.74,12.7,701.6,707.3,32.9,中立,0,,,
1443,技研ホールディングス,建設業,251.0,6.6419687,0.31533495,0.44,5.14,40.7,250.1,260.1,50.5,中立,0,,,
1444,ニッソウ,建設業,2826.0,,1.8677642,,-4.19,30.7,2860.4,2812.7,45.1,中立,0,,,
